"código","nome do território","Data Eleição","total de freguesias","inscritos","votantes","brancos","nulos","votos validamente expressos","André Ventura","António José Seguro"
"0509","Sertã",08-02-2026,10,13132,7633,192,167,7274,2696,4578
"0510","Vila de Rei",08-02-2026,3,2678,1879,63,47,1769,683,1086
"0511","Vila Velha de Ródão",08-02-2026,4,2782,1681,29,23,1629,485,1144
"0601","Arganil",08-02-2026,14,9787,5596,126,103,5367,1625,3742
"0602","Cantanhede",08-02-2026,15,34057,18156,684,314,17158,6295,10863
"0603","Coimbra",08-02-2026,18,123592,75172,2508,1045,71619,14889,56730
"0604","Condeixa-a-Nova",08-02-2026,7,14810,9195,276,109,8810,2217,6593
"0605","Figueira da Foz",08-02-2026,17,54381,30699,1033,490,29176,9480,19696
"0606","Góis",08-02-2026,4,3367,1942,52,48,1842,481,1361
"0607","Lousã",08-02-2026,5,15407,9174,280,137,8757,2377,6380
"0608","Mira",08-02-2026,4,12626,6482,271,118,6093,2277,3816
"0609","Miranda do Corvo",08-02-2026,4,10682,5986,201,90,5695,1438,4257
"0610","Montemor-o-Velho",08-02-2026,11,21617,12199,392,177,11630,4047,7583
"0611","Oliveira do Hospital",08-02-2026,17,17083,9900,246,194,9460,3035,6425
"0612","Pampilhosa da Serra",08-02-2026,8,3273,1729,36,31,1662,498,1164
"0613","Penacova",08-02-2026,8,12740,6771,238,92,6441,1751,4690
"0614","Penela",08-02-2026,4,4667,2503,92,34,2377,714,1663
"0615","Soure",08-02-2026,10,15681,9122,230,126,8766,2601,6165
"0616","Tábua",08-02-2026,11,10084,5584,103,96,5385,1838,3547
"0617","Vila Nova de Poiares",08-02-2026,4,6267,3331,142,76,3113,1019,2094
"0701","Alandroal",08-02-2026,4,4329,2533,21,27,2485,898,1587
"0702","Arraiolos",08-02-2026,6,5847,3817,95,75,3647,987,2660
"0703","Borba",08-02-2026,4,5691,3476,100,41,3335,1205,2130
"0704","Estremoz",08-02-2026,9,10801,6245,195,113,5937,2378,3559
"0705","Évora",08-02-2026,12,45934,28046,989,530,26527,8598,17929
"0706","Montemor-o-Novo",08-02-2026,10,13522,8417,285,117,8015,2170,5845
"0707","Mora",08-02-2026,4,3781,2128,49,36,2043,651,1392
"0708","Mourão",08-02-2026,3,2132,1244,39,16,1189,584,605
"0709","Portel",08-02-2026,8,4929,2898,71,55,2772,964,1808
"0710","Redondo",08-02-2026,2,5499,3029,92,38,2899,947,1952
"0711","Reguengos de Monsaraz",08-02-2026,4,8724,4843,128,63,4652,1931,2721
"0712","Vendas Novas",08-02-2026,2,10043,5920,201,104,5615,2065,3550
"0713","Viana do Alentejo",08-02-2026,3,4693,2784,62,45,2677,1015,1662
"0714","Vila Viçosa",08-02-2026,4,6503,3764,123,40,3601,1394,2207
"0801","Albufeira",08-02-2026,4,36311,18591,514,284,17793,8706,9087
"0802","Alcoutim",08-02-2026,4,2182,1197,36,20,1141,328,813
"0803","Aljezur",08-02-2026,4,3997,2351,53,32,2266,787,1479
"0804","Castro Marim",08-02-2026,4,5853,3311,76,28,3207,1486,1721
"0805","Faro",08-02-2026,5,56922,32859,1124,515,31220,11156,20064
"0806","Lagoa",08-02-2026,4,19068,11129,287,171,10671,5214,5457
"0807","Lagos",08-02-2026,5,23915,13099,440,162,12497,4863,7634
