01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
1966,Bulgária,,Total,,,,,71.2
1966,Chéquia,,Homens,,,,,67.3
1966,Chéquia,,Mulheres,,,,,73.9
1966,Chéquia,,Total,,,,,70.6
1966,Chipre,,Homens,,,,x,
1966,Chipre,,Mulheres,,,,x,
1966,Chipre,,Total,,,,x,
1966,Croácia,,Homens,,,,x,
1966,Croácia,,Mulheres,,,,x,
1966,Croácia,,Total,,,,x,
1966,Dinamarca,,Homens,,,,x,
1966,Dinamarca,,Mulheres,,,,x,
1966,Dinamarca,,Total,,,,x,
1966,Eslováquia,,Homens,,,,,67.8
1966,Eslováquia,,Mulheres,,,,,73.3
1966,Eslováquia,,Total,,,,,70.5
1966,Eslovénia,,Homens,,,,x,
1966,Eslovénia,,Mulheres,,,,x,
1966,Eslovénia,,Total,,,,x,
1966,Espanha,,Homens,,,,x,
1966,Espanha,,Mulheres,,,,x,
1966,Espanha,,Total,,,,x,
1966,Estónia,,Homens,,,,,66.3
1966,Estónia,,Mulheres,,,,,74.4
1966,Estónia,,Total,,,,,70.7
1966,Finlândia,,Homens,,,,x,
1966,Finlândia,,Mulheres,,,,x,
1966,Finlândia,,Total,,,,x,
1966,França,,Homens,,,,x,
1966,França,,Mulheres,,,,x,
1966,França,,Total,,,,x,
1966,Grécia,,Homens,,,,,70.5
1966,Grécia,,Mulheres,,,,,74.7
1966,Grécia,,Total,,,,,72.6
1966,Hungria,,Homens,,,,,67.5
1966,Hungria,,Mulheres,,,,,72.3
1966,Hungria,,Total,,,,,69.9
1966,Irlanda,,Homens,,,,x,
1966,Irlanda,,Mulheres,,,,x,
1966,Irlanda,,Total,,,,x,
1966,Itália,,Homens,,,,x,
1966,Itália,,Mulheres,,,,x,
1966,Itália,,Total,,,,x,
1966,Letónia,,Homens,,,,x,
1966,Letónia,,Mulheres,,,,x,
1966,Letónia,,Total,,,,x,
1966,Lituânia,,Homens,,,,x,
1966,Lituânia,,Mulheres,,,,x,
1966,Lituânia,,Total,,,,x,
1966,Luxemburgo,,Homens,,,,x,
1966,Luxemburgo,,Mulheres,,,,x,
1966,Luxemburgo,,Total,,,,x,
1966,Malta,,Homens,,,,x,
1966,Malta,,Mulheres,,,,x,
1966,Malta,,Total,,,,x,
1966,Países Baixos,,Homens,,,,x,
1966,Países Baixos,,Mulheres,,,,x,
1966,Países Baixos,,Total,,,,x,
1966,Polónia,,Homens,,,,x,
1966,Polónia,,Mulheres,,,,x,
1966,Polónia,,Total,,,,x,
1966,Portugal,,Homens,,,,,62.0
1966,Portugal,,Mulheres,,,,,68.4
1966,Portugal,,Total,,,,,65.3
1966,Roménia,,Homens,,,,x,
1966,Roménia,,Mulheres,,,,x,
1966,Roménia,,Total,,,,x,
1966,Suécia,,Homens,,,,x,
1966,Suécia,,Mulheres,,,,x,
1966,Suécia,,Total,,,,x,
1967,Alemanha,,Homens,,,,x,
1967,Alemanha,,Mulheres,,,,x,
1967,Alemanha,,Total,,,,x,
1967,Áustria,,Homens,,,,x,
1967,Áustria,,Mulheres,,,,x,
1967,Áustria,,Total,,,,x,
1967,Bélgica,,Homens,,,,,67.9
1967,Bélgica,,Mulheres,,,,,74.2
1967,Bélgica,,Total,,,,,71.0
1967,Bulgária,,Homens,,,,,68.3
1967,Bulgária,,Mulheres,,,,,72.6
1967,Bulgária,,Total,,,,,70.4
1967,Chéquia,,Homens,,,,,67.1
1967,Chéquia,,Mulheres,,,,,73.8
1967,Chéquia,,Total,,,,,70.5
1967,Chipre,,Homens,,,,x,
1967,Chipre,,Mulheres,,,,x,
1967,Chipre,,Total,,,,x,
1967,Croácia,,Homens,,,,x,
1967,Croácia,,Mulheres,,,,x,
1967,Croácia,,Total,,,,x,
1967,Dinamarca,,Homens,,,,x,
1967,Dinamarca,,Mulheres,,,,x,
1967,Dinamarca,,Total,,,,x,
1967,Eslováquia,,Homens,,,,,68.4
1967,Eslováquia,,Mulheres,,,,,73.9
1967,Eslováquia,,Total,,,,,71.1
1967,Eslovénia,,Homens,,,,x,
1967,Eslovénia,,Mulheres,,,,x,
1967,Eslovénia,,Total,,,,x,
1967,Espanha,,Homens,,,,x,
1967,Espanha,,Mulheres,,,,x,
1967,Espanha,,Total,,,,x,
1967,Estónia,,Homens,,,,,66.4
1967,Estónia,,Mulheres,,,,,74.8
1967,Estónia,,Total,,,,,71.0
1967,Finlândia,,Homens,,,,x,
1967,Finlândia,,Mulheres,,,,x,
1967,Finlândia,,Total,,,,x,
1967,França,,Homens,,,,x,
1967,França,,Mulheres,,,,x,
1967,França,,Total,,,,x,
1967,Grécia,,Homens,,,,,70.4
1967,Grécia,,Mulheres,,,,,74.2
1967,Grécia,,Total,,,,,72.4
1967,Hungria,,Homens,,,,,66.9
1967,Hungria,,Mulheres,,,,,72.1
1967,Hungria,,Total,,,,,69.5
1967,Irlanda,,Homens,,,,x,
1967,Irlanda,,Mulheres,,,,x,
1967,Irlanda,,Total,,,,x,
1967,Itália,,Homens,,,,x,
1967,Itália,,Mulheres,,,,x,
1967,Itália,,Total,,,,x,
1967,Letónia,,Homens,,,,x,
1967,Letónia,,Mulheres,,,,x,
1967,Letónia,,Total,,,,x,
1967,Lituânia,,Homens,,,,x,
1967,Lituânia,,Mulheres,,,,x,
1967,Lituânia,,Total,,,,x,
1967,Luxemburgo,,Homens,,,,x,
1967,Luxemburgo,,Mulheres,,,,x,
1967,Luxemburgo,,Total,,,,x,
1967,Malta,,Homens,,,,x,
1967,Malta,,Mulheres,,,,x,
1967,Malta,,Total,,,,x,
1967,Países Baixos,,Homens,,,,x,
1967,Países Baixos,,Mulheres,,,,x,
1967,Países Baixos,,Total,,,,x,
1967,Polónia,,Homens,,,,x,
1967,Polónia,,Mulheres,,,,x,
1967,Polónia,,Total,,,,x,
1967,Portugal,,Homens,,,,,62.8
1967,Portugal,,Mulheres,,,,,69.2
1967,Portugal,,Total,,,,,66.1
1967,Roménia,,Homens,,,,x,
1967,Roménia,,Mulheres,,,,x,
1967,Roménia,,Total,,,,x,
1967,Suécia,,Homens,,,,x,
1967,Suécia,,Mulheres,,,,x,
1967,Suécia,,Total,,,,x,
1968,Alemanha,,Homens,,,,x,
1968,Alemanha,,Mulheres,,,,x,
1968,Alemanha,,Total,,,,x,
1968,Áustria,,Homens,,,,x,
1968,Áustria,,Mulheres,,,,x,
1968,Áustria,,Total,,,,x,
1968,Bélgica,,Homens,,,,,67.6
1968,Bélgica,,Mulheres,,,,,73.9
1968,Bélgica,,Total,,,,,70.7
1968,Bulgária,,Homens,,,,,69.2
1968,Bulgária,,Mulheres,,,,,73.3
1968,Bulgária,,Total,,,,,71.2
1968,Chéquia,,Homens,,,,,66.6
1968,Chéquia,,Mulheres,,,,,73.5
1968,Chéquia,,Total,,,,,70.0
1968,Chipre,,Homens,,,,x,
1968,Chipre,,Mulheres,,,,x,
1968,Chipre,,Total,,,,x,
1968,Croácia,,Homens,,,,x,
1968,Croácia,,Mulheres,,,,x,
1968,Croácia,,Total,,,,x,
1968,Dinamarca,,Homens,,,,x,
